content,score,at,content_sentiment,content_sentiment_num,content_sentiment_confidence
good sab,5,2025-06-22 23:56:39,positive,2,0.9435539841651917
"Honestly it's amazing for open world exploration, building teams, and connecting with people. There's always tutorials on YT for quests you don't understand if you need it, and I do understand Honkais the favorite child, but you can actually dodge in genshin! :D I absolutely love the characters, each one has been thought over well and has a unique design",5,2025-06-22 23:50:10,positive,2,0.9909913539886475
I've been having a lot of fun I like how the game treats its new players makes eazy to understand.,5,2025-06-22 23:39:42,positive,2,0.9472691416740417
"after 5 long years, they finally added controller support..... Domains are still locked to certain weekdays, and there's no flying like in Wuthering Waves. Go playing Wuthering Waves people",3,2025-06-22 23:26:44,positive,2,0.8805312514305115
so I downloaded this game randomly and I was shocked after knowing that the size of game 🥲,2,2025-06-22 23:16:54,positive,2,0.6523837447166443
cashcow for other games of hoyo is all I can say,1,2025-06-22 23:11:54,positive,2,0.7221221923828125
barely functional in any mobile device. was atleast able to play the bare minimum during early stages but now unless u imagine story is taking place in mist village to make it bareable,2,2025-06-22 22:51:48,negative,0,0.8997505903244019
nice 👍 game 🎮,5,2025-06-22 22:45:45,positive,2,0.870432436466217
super,5,2025-06-22 22:44:42,positive,2,0.6477230787277222
"I got both Raiden and arlecchino, thank u sm❣️",5,2025-06-22 22:37:48,positive,2,0.9704717993736267
😭😭,5,2025-06-22 22:35:57,neutral,1,0.3864840567111969
"it sucks, like literally the most disappointing game, from the pull rate, farming and definitely a game that is not F2P friendly. Though, story wise it's good, the rest just sucks",1,2025-06-22 22:34:59,negative,0,0.9642457365989685
amazing 😍,5,2025-06-22 22:21:56,positive,2,0.9365832209587097
It's a good game,5,2025-06-22 22:16:37,positive,2,0.9685631394386292
please skip button for story,3,2025-06-22 21:30:04,negative,0,0.8710454106330872
Too much chatting can reduce that,4,2025-06-22 21:27:55,negative,0,0.6207510232925415
very good 💯,5,2025-06-22 21:17:39,positive,2,0.9726731181144714
i love u alhaitham,5,2025-06-22 21:17:30,positive,2,0.9524036049842834
best game ever,5,2025-06-22 21:10:47,positive,2,0.915415346622467
"Every time I play this game, a thought comes to my mind. WUWA was released much later than this game, but it has improved tremendously during this shorter span of time. We are talking about things like graphics for PC, QOL, the reduction of tediousness. And what do we still have with Genshin? A MIDDLE FINGER IN OUR FACE! This game can keep my 1 star rating forever. Can you even call this a game btw?",1,2025-06-22 21:08:39,positive,2,0.9367814660072327
it's a fantastic game,5,2025-06-22 21:08:28,positive,2,0.9128981232643127
this is like the best game ever. it is so good and the story is interesting and amazing.the characters are good and the gameplay is amazing.i have been obsessed with this game. I am waiting for more updates and new characters and story,5,2025-06-22 20:56:44,positive,2,0.9952446818351746
The games relaxing un like the game I've tried before,5,2025-06-22 20:50:23,positive,2,0.7837217450141907
is just cool,5,2025-06-22 20:47:16,positive,2,0.9452510476112366
😡😡I have played this game for 3 years and after that for some problem I am unable to play this for almost 5 or 6 months and for this they deleted my account and after I riched them for recovering my account they just won't give it back....😡😡 Now I just want my account back..........,1,2025-06-22 20:42:13,negative,0,0.9749745726585388
I don't know this game a play it for a hour it cool,4,2025-06-22 20:39:48,positive,2,0.9750985503196716
skip button for everything is the only thing missing but overall its good.,4,2025-06-22 20:33:08,positive,2,0.9852558374404907
"the game is pretty fun,the grind can get annoying but you get used to it",5,2025-06-22 20:28:03,positive,2,0.9051163196563721
amazing game,5,2025-06-22 20:26:09,positive,2,0.9409561157226562
"after a half+ year of playing I really enjoyed this game, the world building pretty impressive and a bit frustrating about pulling a characters..",5,2025-06-22 20:14:41,positive,2,0.8508366942405701
Perfect absolutely perfect,5,2025-06-22 20:00:22,positive,2,0.9778773188591003
"This game is beautiful, the story the mechanics, the exploration. It's all so well done. edit: I came back to the game after leaving it because of studies and such for 2 years, and I gotta say, the story is very interesting and became way better, and the characters look amazing still. Very nice job",5,2025-06-22 19:55:24,positive,2,0.9862874150276184
"i like a thing about this game and that is adventure, comunication and characters.",5,2025-06-22 19:50:31,positive,2,0.9888462424278259
i only like because of furina and Fontaine other wise very boring and not enough rewords,1,2025-06-22 19:46:02,negative,0,0.6353702545166016
"This is my final review about this game first of all the game story are starting to at least having better quality, the character designs are all fine. The energy system is bad and grinding for skills are locked behind specific days and the artifacts are god awful. Now the thing that I hate the most the primogems you get in a single patch which only includes the endgame contents and newer stuff is only around 50-60 intertwined fates which is not enough getting a guaranteed character or weapon!!!",1,2025-06-22 19:38:34,negative,0,0.9889504313468933
really enjoyed this game during covid and been playing since v2.0 with monthly welkin. then I tried playing wuwa and this game became old and unplayable for me. hope this game improve so I can come back and enjoy playing again. uninstalled this game today.,1,2025-06-22 19:27:14,positive,2,0.5826913118362427
Should treat player base better!! Many have ran yet here I am still playing the game!,4,2025-06-22 19:23:54,positive,2,0.9846691489219666
really good But takes long to sign in so 1 star,1,2025-06-22 18:52:22,positive,2,0.9473714828491211
good!!,5,2025-06-22 18:51:51,positive,2,0.9333539009094238
This game is very good,5,2025-06-22 18:38:36,positive,2,0.984502375125885
Nothing but just beautiful.,5,2025-06-22 18:24:21,positive,2,0.8622480630874634
Tbh it is very hard to be F2P in this game because of the small amount of rewards but I'm not here to talk about that. I am begging you to bring back Aloy. Please HoYoverse bring Aloy back. I have played Horizon for a long time and being able to use her in Genshin would make me so happy.,4,2025-06-22 18:11:38,positive,2,0.8665342926979065
"Now I know why many people left genshin and play Wuthering, cause unlike wuthering here you don't get that much free stuff it's really challenging for an F2p players like me to collect enough primos and when you lose 50/50 all those Hard work just go to waste most brutal feeling ever.",3,2025-06-22 18:05:34,negative,0,0.5402714014053345
worst artifacts roll up game,1,2025-06-22 17:32:47,negative,0,0.976655900478363
👍,5,2025-06-22 17:24:09,neutral,1,0.3864840567111969
it's calming but it's hard to get a five star vs only used four stars during ally game experience and honestly it's suffocating and annoying that I can't get a five no matter how much I save,4,2025-06-22 17:05:58,negative,0,0.6090536117553711
