Product_Category,Product_Name,Quantity,Payment_Method,Review_Rating,Review_Text,State
Home & Kitchen,Cookware Set,2,Credit Card,1,Waste of money,Sikkim
Beauty,Hair Dryer,1,Debit Card,5,Excellent product!,Telangana
Electronics,Tablet,3,Cash on Delivery,3,Fair deal,Nagaland
Electronics,Headphones,5,Credit Card,5,Highly recommend!,Assam
Clothing,Saree,5,UPI,5,Highly recommend!,Odisha
Home & Kitchen,Cookware Set,1,Cash on Delivery,5,Fantastic quality!,Maharashtra
Clothing,Jeans,4,Cash on Delivery,2,Poor packaging,Arunachal Pradesh
Clothing,Sneakers,4,Cash on Delivery,3,Okay product,Andhra Pradesh
Clothing,T-Shirt,3,UPI,5,Excellent product!,Assam
Clothing,T-Shirt,1,Debit Card,1,Terrible experience,Gujarat
Clothing,Saree,2,Credit Card,5,Worth every rupee!,Haryana
Clothing,T-Shirt,1,Cash on Delivery,3,Average,Mizoram
Electronics,Smartphone,4,Credit Card,1,Terrible experience,Punjab
Clothing,Jacket,2,UPI,2,Poor packaging,Andhra Pradesh
Electronics,Smartphone,2,Cash on Delivery,4,Satisfied with the product,Nagaland
Beauty,Face Cream,4,Cash on Delivery,4,Satisfied with the product,Gujarat
Home & Kitchen,Cookware Set,1,UPI,5,Fantastic quality!,Tamil Nadu
Beauty,Hair Dryer,5,UPI,5,Excellent product!,Rajasthan
Clothing,Jacket,1,UPI,5,Fantastic quality!,Tamil Nadu
Books,Comics,3,Credit Card,2,Product not as expected,Nagaland
Clothing,Sneakers,4,UPI,1,Never buying again,Maharashtra
Clothing,Saree,3,Debit Card,3,Okay product,Haryana
Beauty,Hair Dryer,3,UPI,5,Highly recommend!,Manipur
Electronics,Smartphone,5,Debit Card,3,Could be better,Odisha
Books,Children's Book,3,Debit Card,1,Very bad product,Himachal Pradesh
Home & Kitchen,Cookware Set,3,UPI,4,Good quality,Uttar Pradesh
Clothing,Saree,1,Cash on Delivery,5,Excellent product!,West Bengal
Home & Kitchen,Vacuum Cleaner,1,UPI,2,Poor packaging,Andhra Pradesh
Beauty,Hair Dryer,2,Cash on Delivery,2,Quality could improve,Tripura
Home & Kitchen,Air Fryer,2,Cash on Delivery,1,Waste of money,Uttar Pradesh
Beauty,Lipstick,3,Credit Card,2,Disappointed,Goa
Home & Kitchen,Mixer Grinder,3,Debit Card,5,Excellent product!,Tamil Nadu
Home & Kitchen,Cookware Set,5,Cash on Delivery,3,Could be better,Maharashtra
Beauty,Hair Dryer,5,UPI,5,Worth every rupee!,Karnataka
Electronics,Tablet,5,UPI,2,Disappointed,Himachal Pradesh
Books,Biography,1,Cash on Delivery,3,Fair deal,Chhattisgarh
Home & Kitchen,Water Purifier,2,Debit Card,4,Would buy again,Gujarat
Electronics,Headphones,3,Cash on Delivery,5,Worth every rupee!,Tripura
Clothing,Saree,4,Debit Card,2,Poor packaging,Karnataka
Home & Kitchen,Mixer Grinder,2,UPI,2,Quality could improve,Bihar
Beauty,Hair Dryer,1,Cash on Delivery,5,Loved it!,Assam
Clothing,T-Shirt,1,Cash on Delivery,2,Poor packaging,Madhya Pradesh
Clothing,T-Shirt,4,Debit Card,4,Would buy again,Bihar
Books,Children's Book,5,Debit Card,2,Disappointed,Kerala
Books,Children's Book,2,Debit Card,1,Defective item,West Bengal
Books,Fiction Novel,2,Credit Card,4,Pretty decent,Kerala
Beauty,Lipstick,5,Cash on Delivery,1,Very bad product,Punjab
Books,Children's Book,4,Cash on Delivery,3,Not bad,Himachal Pradesh
Books,Science Textbook,4,Cash on Delivery,4,Pretty decent,Uttar Pradesh
Clothing,Jacket,2,UPI,5,Worth every rupee!,Arunachal Pradesh
Clothing,Jacket,2,Cash on Delivery,4,Value for money,Telangana
Beauty,Lipstick,4,UPI,1,Waste of money,Manipur
Electronics,Smartphone,1,Credit Card,2,Product not as expected,Nagaland
Electronics,Tablet,2,UPI,3,Could be better,Bihar
Electronics,Tablet,1,Cash on Delivery,5,Loved it!,Madhya Pradesh
Electronics,Tablet,2,UPI,3,Not bad,Assam
Beauty,Lipstick,1,Cash on Delivery,3,Fair deal,Nagaland
Home & Kitchen,Air Fryer,2,Cash on Delivery,5,Worth every rupee!,Jharkhand
Books,Biography,3,Credit Card,1,Never buying again,Uttarakhand
Books,Children's Book,3,Credit Card,3,Could be better,Rajasthan
Home & Kitchen,Vacuum Cleaner,5,Credit Card,3,Okay product,Punjab
Beauty,Shampoo,5,Cash on Delivery,4,Good quality,West Bengal
Home & Kitchen,Cookware Set,4,Cash on Delivery,3,Not bad,Kerala
Home & Kitchen,Air Fryer,5,Debit Card,4,Good quality,Odisha
Clothing,Sneakers,1,Cash on Delivery,2,Poor packaging,Gujarat
Books,Comics,3,Debit Card,2,Disappointed,Tamil Nadu
Electronics,Tablet,2,Credit Card,1,Terrible experience,Assam
Electronics,Smartphone,5,Credit Card,4,Value for money,Arunachal Pradesh
Beauty,Face Cream,1,Credit Card,1,Never buying again,Sikkim
Home & Kitchen,Mixer Grinder,2,Cash on Delivery,4,Pretty decent,Haryana
Home & Kitchen,Water Purifier,4,Credit Card,5,Loved it!,Tripura
Home & Kitchen,Mixer Grinder,2,UPI,5,Worth every rupee!,Jharkhand
Books,Children's Book,3,Cash on Delivery,3,Okay product,Assam
Home & Kitchen,Water Purifier,2,Debit Card,5,Excellent product!,West Bengal
Electronics,Laptop,3,UPI,5,Highly recommend!,Haryana
Beauty,Lipstick,5,Cash on Delivery,4,Value for money,West Bengal
Books,Biography,1,Debit Card,5,Excellent product!,Bihar
Clothing,Jacket,5,Cash on Delivery,3,Fair deal,Madhya Pradesh
Home & Kitchen,Air Fryer,3,Cash on Delivery,1,Terrible experience,Himachal Pradesh
Home & Kitchen,Air Fryer,5,Debit Card,1,Terrible experience,Manipur
Books,Fiction Novel,5,Debit Card,1,Terrible experience,Rajasthan
Beauty,Face Cream,2,Cash on Delivery,2,Not satisfied,Uttarakhand
Books,Science Textbook,2,UPI,1,Very bad product,Kerala
Beauty,Face Cream,2,Cash on Delivery,3,Fair deal,Goa
Clothing,Jacket,5,Credit Card,2,Disappointed,Kerala
Beauty,Lipstick,5,Cash on Delivery,1,Terrible experience,Kerala
Books,Children's Book,3,Debit Card,5,Loved it!,Gujarat
Books,Children's Book,2,Cash on Delivery,4,Pretty decent,Sikkim
Beauty,Perfume,4,UPI,2,Not satisfied,Himachal Pradesh
Books,Children's Book,1,UPI,4,Value for money,Tamil Nadu
Home & Kitchen,Water Purifier,4,Cash on Delivery,3,Fair deal,Sikkim
Books,Fiction Novel,5,Cash on Delivery,3,Average,Rajasthan
Beauty,Perfume,3,Debit Card,1,Defective item,Assam
Beauty,Perfume,2,Credit Card,5,Excellent product!,Punjab
Books,Children's Book,5,Credit Card,4,Value for money,Rajasthan
Beauty,Lipstick,1,Credit Card,4,Pretty decent,Goa
Home & Kitchen,Water Purifier,3,Cash on Delivery,4,Satisfied with the product,Nagaland
Beauty,Shampoo,1,Debit Card,5,Worth every rupee!,Telangana
Home & Kitchen,Mixer Grinder,5,Debit Card,1,Never buying again,Haryana
Home & Kitchen,Cookware Set,2,UPI,2,Product not as expected,Goa
Electronics,Tablet,3,Cash on Delivery,1,Waste of money,Manipur
Clothing,Saree,3,Cash on Delivery,3,Could be better,Madhya Pradesh
Electronics,Smartwatch,1,Debit Card,2,Product not as expected,Himachal Pradesh
Electronics,Headphones,5,Cash on Delivery,3,Could be better,Rajasthan
Electronics,Laptop,4,UPI,5,Worth every rupee!,Tamil Nadu
Home & Kitchen,Air Fryer,1,UPI,1,Waste of money,Nagaland
Books,Science Textbook,4,Cash on Delivery,5,Excellent product!,Haryana
Beauty,Hair Dryer,4,Credit Card,3,Fair deal,Sikkim
Clothing,Sneakers,1,UPI,3,Could be better,Karnataka
Clothing,T-Shirt,4,UPI,2,Quality could improve,Uttarakhand
Clothing,Saree,2,Credit Card,5,Loved it!,Tripura
Books,Fiction Novel,3,Debit Card,2,Not satisfied,Tripura
Electronics,Laptop,1,UPI,2,Disappointed,Arunachal Pradesh
Electronics,Laptop,4,Debit Card,1,Never buying again,Haryana
Electronics,Smartwatch,5,Debit Card,5,Excellent product!,Uttarakhand
Electronics,Smartwatch,4,UPI,1,Defective item,Arunachal Pradesh
Books,Science Textbook,1,Debit Card,5,Fantastic quality!,Uttar Pradesh
Books,Biography,4,Credit Card,4,Pretty decent,Karnataka
Clothing,Jacket,3,Debit Card,4,Value for money,Madhya Pradesh
Home & Kitchen,Vacuum Cleaner,2,UPI,4,Pretty decent,Himachal Pradesh
Electronics,Headphones,2,UPI,5,Highly recommend!,Assam
Beauty,Face Cream,3,Credit Card,3,Fair deal,Gujarat
Clothing,T-Shirt,3,Credit Card,3,Not bad,Odisha
Books,Comics,5,Debit Card,3,Could be better,Tamil Nadu
Home & Kitchen,Vacuum Cleaner,1,UPI,2,Not satisfied,Karnataka
Electronics,Tablet,2,Debit Card,4,Value for money,Gujarat
Books,Comics,1,UPI,2,Product not as expected,Rajasthan
Beauty,Shampoo,5,UPI,3,Fair deal,Meghalaya
Electronics,Headphones,5,Cash on Delivery,3,Average,Madhya Pradesh
Electronics,Laptop,3,Debit Card,2,Not satisfied,Rajasthan
Beauty,Shampoo,2,Debit Card,5,Worth every rupee!,Manipur
Electronics,Smartwatch,1,Cash on Delivery,1,Terrible experience,Chhattisgarh
Home & Kitchen,Mixer Grinder,4,Debit Card,3,Fair deal,Himachal Pradesh
Electronics,Laptop,4,Debit Card,5,Highly recommend!,Chhattisgarh
Clothing,Sneakers,2,Credit Card,1,Defective item,Haryana
