Product_Category,Product_Name,Quantity,Payment_Method,Review_Rating,Review_Text,State,Review_Text_sentiment,Review_Text_sentiment_num,Review_Text_sentiment_confidence
Home & Kitchen,Cookware Set,2,Credit Card,1,Waste of money,Sikkim,negative,0,0.994858980178833
Beauty,Hair Dryer,1,Debit Card,5,Excellent product!,Telangana,positive,2,0.9557949304580688
Electronics,Tablet,3,Cash on Delivery,3,Fair deal,Nagaland,positive,2,0.757193922996521
Electronics,Headphones,5,Credit Card,5,Highly recommend!,Assam,positive,2,0.9508875012397766
Clothing,Saree,5,UPI,5,Highly recommend!,Odisha,positive,2,0.9508875012397766
Home & Kitchen,Cookware Set,1,Cash on Delivery,5,Fantastic quality!,Maharashtra,positive,2,0.9278391599655151
Clothing,Jeans,4,Cash on Delivery,2,Poor packaging,Arunachal Pradesh,negative,0,0.9881618618965149
Clothing,Sneakers,4,Cash on Delivery,3,Okay product,Andhra Pradesh,positive,2,0.7045726180076599
Clothing,T-Shirt,3,UPI,5,Excellent product!,Assam,positive,2,0.9557949304580688
Clothing,T-Shirt,1,Debit Card,1,Terrible experience,Gujarat,negative,0,0.9610510468482971
Clothing,Saree,2,Credit Card,5,Worth every rupee!,Haryana,positive,2,0.900964081287384
Clothing,T-Shirt,1,Cash on Delivery,3,Average,Mizoram,neutral,1,0.4617282748222351
Electronics,Smartphone,4,Credit Card,1,Terrible experience,Punjab,negative,0,0.9610510468482971
Clothing,Jacket,2,UPI,2,Poor packaging,Andhra Pradesh,negative,0,0.9881618618965149
Electronics,Smartphone,2,Cash on Delivery,4,Satisfied with the product,Nagaland,positive,2,0.9785903692245483
Beauty,Face Cream,4,Cash on Delivery,4,Satisfied with the product,Gujarat,positive,2,0.9785903692245483
Home & Kitchen,Cookware Set,1,UPI,5,Fantastic quality!,Tamil Nadu,positive,2,0.9278391599655151
Beauty,Hair Dryer,5,UPI,5,Excellent product!,Rajasthan,positive,2,0.9557949304580688
Clothing,Jacket,1,UPI,5,Fantastic quality!,Tamil Nadu,positive,2,0.9278391599655151
Books,Comics,3,Credit Card,2,Product not as expected,Nagaland,neutral,1,0.3900465667247772
Clothing,Sneakers,4,UPI,1,Never buying again,Maharashtra,negative,0,0.9667354226112366
Clothing,Saree,3,Debit Card,3,Okay product,Haryana,positive,2,0.7045726180076599
Beauty,Hair Dryer,3,UPI,5,Highly recommend!,Manipur,positive,2,0.9508875012397766
Electronics,Smartphone,5,Debit Card,3,Could be better,Odisha,positive,2,0.750451922416687
Books,Children's Book,3,Debit Card,1,Very bad product,Himachal Pradesh,negative,0,0.9768244624137878
Home & Kitchen,Cookware Set,3,UPI,4,Good quality,Uttar Pradesh,positive,2,0.9450585246086121
Clothing,Saree,1,Cash on Delivery,5,Excellent product!,West Bengal,positive,2,0.9557949304580688
Home & Kitchen,Vacuum Cleaner,1,UPI,2,Poor packaging,Andhra Pradesh,negative,0,0.9881618618965149
Beauty,Hair Dryer,2,Cash on Delivery,2,Quality could improve,Tripura,positive,2,0.8631800413131714
Home & Kitchen,Air Fryer,2,Cash on Delivery,1,Waste of money,Uttar Pradesh,negative,0,0.994858980178833
Beauty,Lipstick,3,Credit Card,2,Disappointed,Goa,negative,0,0.986985981464386
Home & Kitchen,Mixer Grinder,3,Debit Card,5,Excellent product!,Tamil Nadu,positive,2,0.9557949304580688
Home & Kitchen,Cookware Set,5,Cash on Delivery,3,Could be better,Maharashtra,positive,2,0.750451922416687
Beauty,Hair Dryer,5,UPI,5,Worth every rupee!,Karnataka,positive,2,0.900964081287384
Electronics,Tablet,5,UPI,2,Disappointed,Himachal Pradesh,negative,0,0.986985981464386
Books,Biography,1,Cash on Delivery,3,Fair deal,Chhattisgarh,positive,2,0.757193922996521
Home & Kitchen,Water Purifier,2,Debit Card,4,Would buy again,Gujarat,positive,2,0.8037182092666626
Electronics,Headphones,3,Cash on Delivery,5,Worth every rupee!,Tripura,positive,2,0.900964081287384
Clothing,Saree,4,Debit Card,2,Poor packaging,Karnataka,negative,0,0.9881618618965149
Home & Kitchen,Mixer Grinder,2,UPI,2,Quality could improve,Bihar,positive,2,0.8631800413131714
Beauty,Hair Dryer,1,Cash on Delivery,5,Loved it!,Assam,positive,2,0.7877822518348694
Clothing,T-Shirt,1,Cash on Delivery,2,Poor packaging,Madhya Pradesh,negative,0,0.9881618618965149
Clothing,T-Shirt,4,Debit Card,4,Would buy again,Bihar,positive,2,0.8037182092666626
Books,Children's Book,5,Debit Card,2,Disappointed,Kerala,negative,0,0.986985981464386
Books,Children's Book,2,Debit Card,1,Defective item,West Bengal,negative,0,0.9707651734352112
Books,Fiction Novel,2,Credit Card,4,Pretty decent,Kerala,positive,2,0.8838034272193909
Beauty,Lipstick,5,Cash on Delivery,1,Very bad product,Punjab,negative,0,0.9768244624137878
Books,Children's Book,4,Cash on Delivery,3,Not bad,Himachal Pradesh,neutral,1,0.48498252034187317
Books,Science Textbook,4,Cash on Delivery,4,Pretty decent,Uttar Pradesh,positive,2,0.8838034272193909
Clothing,Jacket,2,UPI,5,Worth every rupee!,Arunachal Pradesh,positive,2,0.900964081287384
Clothing,Jacket,2,Cash on Delivery,4,Value for money,Telangana,neutral,1,0.5708264708518982
Beauty,Lipstick,4,UPI,1,Waste of money,Manipur,negative,0,0.994858980178833
